RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JC460525,,10/5/2019 0:05,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,$500 OR LESS,10/5/2019 0:15,HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),UNABLE TO DETERMINE,6352,N,BROADWAY,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,7,10,41.99792047,-87.6606648,POINT (-87.660664803926 41.997920470378)
JC460536,,10/4/2019 23:57,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,N,"OVER $1,500",10/4/2019 23:59,DISTRACTION - FROM OUTSIDE VEHICLE,FAILING TO REDUCE SPEED TO AVOID CRASH,3599,N,MILWAUKEE AVE,1731,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,6,10,41.94632681,-87.73549144,POINT (-87.735491434638 41.946326807103)
JC460503,,10/4/2019 23:35,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,$500 OR LESS,10/4/2019 23:40,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,5200,S,CALIFORNIA AVE,923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,6,10,41.79906963,-87.6940941,POINT (-87.694094103269 41.799069630971)
JC460491,,10/4/2019 23:05,30,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",10/4/2019 23:10,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5049,W,MADISON ST,1533,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,23,6,10,41.88030416,-87.75184665,POINT (-87.751846652598 41.880304164374)
JC460488,,10/4/2019 22:38,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 22:49,CELL PHONE USE OTHER THAN TEXTING,NOT APPLICABLE,8241,S,PEORIA ST,613,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,3,0,22,6,10,41.74391968,-87.64612922,POINT (-87.646129214814 41.743919677786)
JC460436,,10/4/2019 22:30,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/4/2019 22:30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,4039,W,63RD ST,813,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,6,10,41.77852864,-87.72427786,POINT (-87.72427785863 41.778528636637)
JC460437,N,10/4/2019 22:00,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",10/4/2019 22:40,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,5200,N,MILWAUKEE AVE,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,22,6,10,41.97463719,-87.76699296,POINT (-87.766992957914 41.974637186208)
JC460443,Y,10/4/2019 21:40,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",10/4/2019 21:41,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,3298,S,DAMEN AVE,912,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,10,41.83411307,-87.67552508,POINT (-87.675525083249 41.834113071722)
JC460379,,10/4/2019 21:10,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",10/4/2019 21:15,FAILING TO REDUCE SPEED TO AVOID CRASH,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3135,W,71ST ST,831,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,21,6,10,41.76429043,-87.7017372,POINT (-87.701737204273 41.764290426841)
JC460393,,10/4/2019 21:09,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",10/4/2019 21:30,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,1910,E,95TH ST,413,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,21,6,10,41.72255336,-87.57736367,POINT (-87.577363672231 41.722553360727)
